-test.shuffle 1711849264447258494
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/bench/uint16s
cpu: Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz
BenchmarkReadUint16s-2          	19211871	        61.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	16865893	        63.22 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19353501	        61.73 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20641168	        62.52 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19117093	        59.51 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20691327	        63.01 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18297760	        64.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17762836	        59.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18909399	        58.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20481142	        60.67 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19515642	        60.53 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17554825	        61.20 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18803922	        59.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20298427	        62.10 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19464854	        62.03 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19031630	        61.10 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18619431	        58.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20302326	        61.44 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19430932	        60.77 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18579466	        60.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18059732	        60.71 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	18211167	        59.49 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19256653	        64.36 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20198626	        63.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20145366	        60.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17154384	        61.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17740826	        62.96 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19260355	        62.99 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20292542	        61.43 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17576407	        60.06 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19759086	        62.36 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19822297	        59.18 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20827866	        61.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19449186	        62.34 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19376893	        63.14 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20336541	        59.12 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	17474180	        60.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20332224	        60.20 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	19949846	        61.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s-2          	20056382	        60.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	18194580	        62.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	18526635	        60.28 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20431603	        61.34 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19190750	        61.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20120412	        61.14 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	19036202	        61.06 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20026063	        67.93 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16s2-2         	20049080	        59.64 ns/op	       8 B/op	       1 allocs/op
