Benchmarking Unmarshal23:  [30 171 22]
-test.shuffle 1744254435149331026
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/generate/testdata/boolDef
cpu: Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz
Benchmark23_Marshal_JSON-4     	  426212	      2491 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  463617	      2514 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  537676	      2942 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  440415	      2668 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  490471	      2629 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  451502	      2966 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  428143	      2544 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  555219	      2325 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  448869	      2417 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  469075	      2585 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  473791	      2724 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  512714	      2497 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  492592	      2420 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  496488	      2503 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  494775	      2478 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  525760	      2512 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  462204	      2501 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  451806	      2655 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  538962	      2507 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  483739	      2539 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  518590	      2447 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  413938	      2512 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  475701	      2467 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  521866	      2399 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  481450	      2492 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  491482	      2422 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  441517	      2522 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  476547	      2635 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  482773	      2466 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Marshal_JSON-4     	  499995	      2519 ns/op	     376 B/op	       2 allocs/op
Benchmark23_Unmarshal_JSON-4   	  102799	     11704 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	   87948	     12255 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  113324	     11396 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  113822	     10920 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  103162	     11137 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  105596	     11655 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  107421	     11067 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  112971	     11014 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  116088	     10981 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  101654	     11226 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  104737	     10884 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  101080	     11423 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  110553	     11139 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  115345	     11173 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  102838	     11014 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  109678	     10809 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  109586	     11164 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  112034	     11693 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	  107998	     11777 ns/op	     216 B/op	       4 allocs/op
Benchmark23_Unmarshal_JSON-4   	   97852	     11975 ns/op	     216 B/op	       4 allocs/op
